#TLD,TYPE
xn--s9brj9c,country-code
xn--ses554g,generic
xn--t60b56a,generic
xn--tckwe,generic
xn--tiq49xqyj,generic
xn--unup4y,generic
xn--vermgensberater-ctb,generic
xn--vermgensberatung-pwb,generic
xn--vhquv,generic
xn--vuq861b,generic
xn--w4r85el8fhu5dnra,generic
xn--w4rs40l,generic
xn--wgbh1c,country-code
xn--wgbl6a,country-code
xn--xhq521b,generic
xn--xkc2al3hye2a,country-code
xn--xkc2dl3a5ee0h,country-code
xn--y9a3aq,country-code
xn--yfro4i67o,country-code
xn--ygbi2ammx,country-code
xn--zckzah,test
xn--zfr164b,generic
xperia,generic
xxx,sponsored
xyz,generic
yachts,generic
yahoo,generic
yamaxun,generic
yandex,generic
ye,country-code
yodobashi,generic
yoga,generic
yokohama,generic
you,generic
youtube,generic
yt,country-code
yun,generic
za,country-code
zappos,generic
zara,generic
zero,generic
zip,generic
zippo,generic
zm,country-code
zone,generic
zuerich,generic
zw,country-code
